257	4064    5760    1000
258	4064    5760    1100
259	4064    5760     900
260	4064    5760    1200
261	4064    5760    1200
262	4064    5760     900
265	4064    5760    1300
266	4064    5760    1000
267	4064    5760    1300
268	4064    5760    1100
269	4064    5760    1200
270	4064    5760    1300
271	4064    5760    1200
272	4064    5760    1100
273	4064    5760    1000
274	4064    5760    1300
275	4064    5760    1200
276	4064    5760    1400
277	4064    5760    1200
278	4064    5760    1200
279	4064    5760     900
280	4064    5760     900
281	4064    5760     900
282	4064    5760     900
283	4064    5760    1000
284	4064    5760    1200
285	4064    5760    1000
286	4064    5760    1300
287	4064    5760    1200
288	4064    5760    1000
289	4064    5760    1300
290	4064    5760    1100
291	4064    5760    1000
292	4064    5760    1100
293	4064    5760    1100
294	4064    5760    1000
295	4064    5760    1000
296	4064    5760    1000
297	4064    5760     900
298	4064    5760    1000
299	4064    5760    1000
300	4064    5760    1100
301	4064    5760    1200
302	4064    5760    1100
303	4064    5760     900
304	4064    5760    1000
305	4064    5760    1000
307	4064    5760    1100
308	4064    5760     920
309	4064    5760    1150
310	4064    5760    1000
311	4064    5760     900
312	4064    5760    1000
313	4064    5760    1200
314	4064    5760    1000
315	4064    5760     900
316	4064    5760    1100
318	4064    5760    1000
319	4064    5760    1300
320	4064    5760    1000
321	4064    5760    1100
322	4064    5760    1000
323	4064    5760    1100
324	4064    5760    1100
325	4064    5760    1200
326	4064    5760    1200
327	4064    5760    1000
328	4064    5760    1100
329	4064    5760    1000
330	4064    5760    1000
331	4064    5760    1000
